,1,2,3,4
1,0.638952164,0.15261959,0.104783599,0.103644647
2,0.385176185,0.173754557,0.219927096,0.22235723
3,0.282894737,0.175,0.264473684,0.277631579
4,0.198606272,0.173054588,0.298490128,0.329849013
5,0.110204082,0.151020408,0.315646259,0.423129252
6,0.063258232,0.139514731,0.329289428,0.467937608
